фру	скандинавские страна
серенада	музыкальное произведение
пассив	отрицательная сторона
гравий	горная порода
празднословие	процесс действия
сазан	рыба семейства
передовик	сотрудник газеты
гидратация	химический процесс
гроза	душевный потрясение
умник	послушный мальчик
формалин	раствор формальдегида
салазки	параллельные брус
рвань	неимущие человек
качание	процесс действия
баркас	портовое судно
перспектива	центральную проекция
кубышка	низкий рост
диковина	удивительную вещь
владетель	правитель государства
пластик	пластическая масса
топаз	драгоценный камень
миропорядок	совокупность принципов
беготня	непрерывное движение
эскалация	постепенное усиление
проводник	деревянный брус
раскладка	плановое распределение
самовластие	неодолимая сила
шайба	спортивный снаряд
отказ	нотный знак
птицеводство	научная дисциплина
кокетка	особый покрой
мумия	красная краска
остров	участок суши
лодыжка	бокам ноги
огниво	кусок камня
чернобыль	экологическая катастрофа
зубоскальство	грубая насмешка
тарабарщина	непонятный язык
субкультура	субтропическая культура
туф	горная порода
купорос	ехидный человек
гарем	женская половина
признание	общественное уважение
бунчук	конский хвост
угождение	процесс действия
стратификация	предпосевная обработка
кворум	число участников
гектар	метрическая мера
ожесточение	чувство ненависти
спиритизм	мистическое течение
десятилетка	средняя школа
элемент	человеке личности
агония	предсмертное состояние
заводчанин	работник завода
залежь	пахотная земля
сантиметр	измерительная линейка
резервуар	обильный источник
тантал	химический элемент
кооперация	организации труда
выхлоп	неприятный запах
ожесточение	большой сила
курфюрст	владетельный князь
электроника	раздел науки
купечество	купеческое сословие
короста	верхний слой
гной	густая жидкость
ясак	натуральный налог
болезненность	крайняя степень
фол	нарушение правил
еж	небольшой зверек
орган	общественное учреждение
гадание	процесс действия
харя	безобразное лицо
электрохимия	отрасль промышленности
выселки	небольшой поселок
ветчина	свиное мясо
супостат	бранное слово
тележка	небольшая повозка
цитология	отдел биологии
подпрапорщик	высокое звание
экспериментирование	процесс действия
тальник	кустарниковый ива
экзема	воспалительное заболевание
протекторат	единоличная диктатура
зенит	высокая степень
сказ	эпическое повествование
прописка	официальное оформление
недомыслие	глупый поступок
наружность	внешний облик
молния	срочная телеграмма
нарком	народный комиссар
уют	чувство покоя
неон	благородный газ
оборот	полный круг
нетопырь	летучая мышь
иночество	жизнь инока
стационар	лечебное учреждение
колокольчик	маленький колокол
суета	истинную ценность
вещмешок	вещевой мешок
рысак	рысистая лошадь
соединение	процесс действия
послесловие	заключительное замечание
психопатология	раздел медицины
племя	животные птицы
облако	заметное выражение
оперетта	театральное представление
дуст	химический препарат
авантюра	легкомысленный поступок
недовольство	чувство неудовлетворения
узел	точка пересечения
бейсбол	командная игра
приказчик	наёмный служащий
игра	древняя греция
осаждение	процесс действия
участок	войсковая единица
катастрофа	безнадёжное положение
издание	процесс действия
построение	процесс действия
тесто	густая масса
зубр	настроил человек
лимонка	ручной гранат
фофан	гребное судно
внешность	совокупность признаков
чача	виноградная водка
прорыв	незаполненное пространство
отрепья	поношенная одежда
киловатт-час	внесистемная единица
эрудиция	глубокий познание
зуммер	электрический прибор
новь	жизни людей
слюнтяй	безвольный человек
пластинка	тонкий слой
рыжик	пластинчатый гриб
способность	природное дарование
заседатель	народное лицо
зигзаг	крутой поворот
семилетка	план развития
лещ	пресноводная рыба
баночка	рюмочка вина
кинолента	кинематографическая лента
орава	шумное сборище
люди	действующее лицо
надгробие	надгробный камень
эпиграмма	европейская поэзия
отделение	состав сотрудников
копна	большого количество
материнство	состояние женщины
сочинительство	музыкальное творчество
ярь	зелёная краска
восьмерка	игральная карта
щелкопер	писателя журналиста
злотый	денежная единица
отруб	участок земли
странствование	процесс действия
легионер	воин солдат
скромность	скромное поведение
выработка	качество продукции
содержание	основа явления
уравниловка	уравнительная система
чадо	прихожанах церкви
размах	отсутствие ограничения
морячка	жена моряка
лаваш	большой лепешка
амальгама	тонкий слой
насыщение	процесс действия
разлад	отсутствие согласия
гора	огромная куча
водевиль	драматическое произведение
трезвон	резкие звонок
гнида	мерзкий человек
самоопределение	процесс действия
место	периферийный организация
идол	предмет обожания
болото	народные представление
промышленность	отрасль производства
бумага	письменный документ
искривление	процесс действия
блуза	женская кофта
винт	карточная игра
чудище	страшное чудовище
оживление	процесс действия
ракурс	необычная ракурс
ужимка	неестественное телодвижение
сценарий	драматическое произведение
покрытие	процесс действия
заяц	небольшой зверек
меморандум	дипломатический документ
врачевание	процесс действия
энергетика	научная дисциплина
авансцена	зрительный зал
инерция	свойство тел
русло	направление развития
артишок	травянистое растение
гримаса	намеренное искажение
примитив	технике исполнения
индивидуализм	философское направление
популизм	способ ведения
уединение	глухое место
смесь	механическое соединение
разрезание	процесс действия
склеп	внутреннее помещение
скрипка	музыкальный инструмент
резина	эластичное вещество
археология	научная дисциплина
отрасль	научное направление
водопад	поток воды
гиена	коварный человек
дворянин	дворянское звание
спад	место падения
быстрота	большой скорость
канотье	соломенная шляпа
полис	древняя греция
этнография	предмет изучения
особа	важное лицо \| известный человек
гармоника	музыкальный инструмент
кинотеатр	зрелищное предприятие
дурдом	психиатрическая больница
приказ	официальное распоряжение
мигрень	приступы боли
радиоузел	орган управления
хищник	хищное животное
пуща	непроходимый лес
кремль	московский кремль
язык	народ народность
определение	процесс установления
потачка	снисходительное отношение
книга	отдельный издание
бумага	денежные знак
прапрадед	далёкие предок
агломерация	термическая обработка
крапива	травянистое растение
эксклюзив	единственный экземпляр
игла	металлический стержень
субботник	отдельный участник
язвительность	злая насмешливость
колдобина	глубокое место
гиббон	человекообразная обезьяна
подстрочник	учебное пособие
тракт	совокупность средств
тварь	бранное обозначение
буржуазия	феодальное общество
такт	графическое изображение
сосуществование	совместное существование
униформа	форменная одежда
стрельба	стрельбы стрельб
дрожь	судорожное сокращение
мануфактура	промышленное производство
универсам	продовольственный магазин
терновник	колючий кустарник
расстояние	промежуток времени
петух	пение петухов
хронология	перечень событий \| последовательность событий
шлем	головной убор
гривна	денежная единица
расправа	судебные орган
всемогущество	неограниченное могущество
обобщение	общий вывод
водосток	система трубопроводов
картечь	круглые пуля
голубок	фамильярное обращение
отряд	систематике животных
тыква	овальный плод
причал	специальное сооружение
кибернетика	учебный предмет
новация	прекращение обязательства
жаргон	еврейский язык
пропуск	незаполненное место
дурак	карточная игра
иней	тонкий слой
радиопромышленность	отрасль промышленности
пресс	тяжёлый предмет
разрядник	автоматическое устройство
оргкомитет	организационный комитет
замазка	липкое вещество
сопротивление	народное движение
хронология	научная дисциплина
комбинация	процесс концентрации
рассвет	освещение неба
курица	домашняя птица
сброс	гидротехническое сооружение
наци	германские фашист
бутылка	количество жидкости
долженствование	необходимость совершения
худсовет	художественный совет
баян	музыкальный инструмент
молочко	косметическое средство
вытрезвитель	медицинское учреждение
пост	парный часовой
маршал	главный распорядитель
авиалайнер	пассажирский самолет
заря	яркое освещение
возложение	процесс действия
хеппи-энд	счастливый конец
верста	придорожные столб
прут	металлический стержень
лира	музыкальные инструмент
правосознание	совокупность взглядов
кукла	пустой человек
вспомоществование	материальная помощь
парча	шёлковая ткань
инквизитор	жестокий человек
зверобой	травянистое растение
холера	язвительный человек
бензин	горючая жидкость
собираемость	степень осуществления
сатира	способ проявления
договор	устное соглашение
максимум	наибольшее количество
ход	время прохода
совет	совместное обсуждение
марсельеза	революционная песня
моль	мелкая бабочка
проза	скучное однообразие
напряжение	электродвижущая сила
остановка	временное пребывание
флегма	невозмутимое спокойствие
чайка	водоплавающая птица
верх	лицевая сторона
сланец	горный порода
сопоставление	процесс действия
фаэтон	водоплавающая птица
прокат	обработка металла
хищничество	образ жизни
скакун	ракообразное животное
эпиграмма	остроумное замечание
вандализм	беспощадное разрушение
ночь	части суток
элеватор	огромное здание
витраж	декоративную композиция
самодовольство	полное удовлетворение
праязык	родственный язык
перегрузка	чрезмерная нагрузка
рыцарь	феодальная европа
треух	сильный удар
антропология	научная дисциплина
лучепреломление	преломление лучей
свистопляска	полная неразбериха
кордон	место пребывания
кружка	русская мера
обстановка	совокупность условий
сбыт	незаконное распространение
бригада	личный состав
абаз	серебряная монета
индикация	показания прибора
балласт	бесполезный человек
делание	процесс действия
сосредоточенность	сосредоточило внимание
контр-адмирал	равное звание
маразм	крайний упадок
пасс	движение рук
сухарь	эгоистичный человек
ценник	справочник цен
бестолочь	бестолковый человек
стружка	узкая полоска
финал	заключительная сцена
рекреация	восстановление сил
идеология	идейное содержание
сбор	барабанный бой
бездарность	бездарный человек
бриг	парусное судно
условность	действительная ценность
укол	укус насекомого
фасция	пучок прутьев
салон	буржуазный круг
косяк	стая птиц
костюм	полный комплект
щипцы	металлический инструмент
таксация	определение количества
каннибал	жестокий человек
половодье	разлив реки
произношение	воспроизведение звуков
бродяжничество	социальное явление
монолит	твёрдые материал
октябрь	социалистическая революция
миниатюра	небольшая картина \| живописное произведение
размазня	жидкая каша
разборка	крупная ссора
поприще	суточный переход
картечь	быстрый поток
углубление	глубина погружения
запас	разряд лиц
перелив	процесс действия
балласт	сыпучий материал
сланец	горная порода
красавец	необыкновенная красота
метр	система организации
подпункт	раздел текста
толь	строительный материал
резец	передний зуб
мозаика	прикладное искусство
дева	зодиакальные созвездие
намек	слабое подобие
инкассатор	должностное лицо
метеор	пассажирское судно
огрызок	внимания человек
мясорубка	кровопролитная битва
конфирмация	судебный приговор
противоречие	противоположность интересов
жаворонок	сдобная булка
дрифтер	рыболовное судно
путь	полоса земли
мировоззрение	система представлений
завет	предсмертная воля
усыхание	процесс действия
перемена	комплект белья
дрозд	лесной птица
локация	определение положения
коростель	птица семейства
теснина	речной долина
эксперимент	метод познания
скульптура	изобразительное искусство
издержки	негативный последствие
соя	однолетнее растение
собес	социальное обеспечение
курица	куриное мясо
сон	пассивное состояние
фимиам	восторженная похвала
сидор	вариант имени
ниспослание	процесс действия
лесопользование	использование леса
камуфляж	способ маскировки
мотивировка	совокупность мотивов
складка	полоса ткани
растление	процесс действия
эмпиризм	практическую деятельность
всполох	тревожный звон
пережиток	остаток прошлого
гриб	споровое растение
решение	процесс действия
кукиш	грубый жест
матч	спортивные игра
рвань	рваное платье
весло	деревянный шест
пионерлагерь	оздоровительное учреждение
блокнот	записная книжка
чемодан	артиллерийский снаряд
позитрон	элементарная частица
финка	северная порода \| небольшая лошадь
гитлеризм	фашистская диктатура
нии	исследовательский институт
удовлетворение	чувство удовольствия
колено	отдельное звено
резервирование	процесс действия
материк	большого пространство
баул	дорожный сундук
захоронение	место погребения
водосбор	травянистое растение
скрепер	транспортная машина
плевел	полевая трава
бродяжничество	образ жизни
перекат	прерывистый гул
бином	алгебраическое выражение
эвкалипт	быстрорастущее дерево
несварение	нарушение пищеварения
вентиль	логическая схема
чащоба	лесной чаща
старик	родители родственники
древко	деревянный шест
концепт	общее понятие
ляп	грубая ошибка
круг	конечный пункт
ржавчина	жёлтый пятно
эпидемиология	изучение распространения
ботаник	учитель ботаники
соглашение	взаимное согласие
произвол	собственный выбор
аноним	автор сочинения
статейка	небольшая статья
холокост	массовое уничтожение
завершение	процесс действия
монополия	винная лавка
корка	твёрдая обложка
чистописание	учебный предмет
свет	избранный круг
симфония	гармоническое сочетание
тело	отдельный предмет
натрий	химический элемент
оболочка	внешний облик
фокус	точка пересечения
омон	отряд милиции
идиотизм	глупый поступок
мирок	замкнутый круг
благотворительность	благотворительная деятельность
жар	горячий воздух
кострец	теле человека
рецептура	совокупность сведений
закуска	различный кушанье
востоковедение	совокупность наук
увязка	процесс действия
тростинка	хрупкое существо
фигурант	артист балета
дуля	грушевое дерево
формуляр	учётная карточка
бутылка	русская мера
тина	зелёный водоросль
бричка	дорожная повозка
пылинка	мелкие образование
кафедра	высокая школа
бревно	бесчувственный человек
сыпь	сыпучее вещество
чеснок	огородное растение
газон	участок земли
отгул	время отдыха
трамплин	исходный пункт
деканат	учебное управление
мирза	народов востока \| почётное наименование
амортизация	погашение долга
мыло	обозначении сортов
маузер	магазинная винтовка
борт	боковой стенка
коньяк	спиртной напиток
множество	совокупность элементов
стремнина	скалистый обрыв
лента	длинная полоса
старушка	домашнее животное
колоколец	маленький колокол
фишка	настольные игра
болельщик	страстный любитель
дирижабль	управляемый аэростат
геофизика	совокупность дисциплин
молокосос	жизни человек
подразделение	войсковая единица
амплитуда	крайние проявление
амплификация	стилистический прием
совет	представительный орган \| политический орган \| контрольный орган
псарня	особое помещение
отдаление	процесс действия
конница	конное войско
парочка	небольшое количество
алкоголизм	хроническое заболевание
политотдел	политический орган
инновация	позднее явление
благовещение	христианские праздник
нектар	древнегреческая мифология
отрава	ядовитое вещество
кремация	сжигание трупов
рапсодия	эпическое произведение
уаз	автомобильный завод
стержень	пластмассовый сосуд
тщета	отсутствие смысла
кварцит	горная порода
зарплата	заработный плата
промывание	процесс действия
катакомба	семейный склеп
упразднение	процесс действия
лето	возраст года
ощущение	психический процесс
аксиома	исходное положение
боярин	московская русь
галун	шитое золото
рогожка	хлопчатобумажная ткань
манжета	обшлаг рукава
насаждение	процесс действия
формообразование	образование форм
симпатия	тёплый чувство
кадр	активная работа
печурка	небольшое углубление
предубеждение	отрицательное мнение
куга	водные растение
добывание	процесс действия
динамит	взрывчатое вещество
вакцина	лекарственный препарат
тимпан	музыкальный инструмент
чествование	процесс действия
перенапряжение	повышенное напряжение
квадратик	небольшой предмет
поток	поточное производство
пиявка	жестокий человек
безделушка	небольшой предмет
вечерня	церковные служба
инфраструктура	комплекс отраслей
ванна	разные отрасль
конкурс	специальная комиссия
класс	социальный группа
биофизика	учебный предмет
истребитель	быстроходное судно
лисица	льстивый человек
мораторий	отсрочка платежей
рецепт	письменное указание
грелка	плоский сосуд
улус	становище кочевников
радость	нежное обращение
вертушка	инструментов приспособлений
профиль	очертание лица
сволочь	подлые человек
октябрь	революционный переворот
легат	папский посол
фокус	произвольная точка
сок	маслянистая жидкость
этан	природный газ
вкус	способность человека
царедворец	высокопоставленное лицо
лежак	предмет мебели
рубашка	цвет шерсти
каланча	дозорная вышка \| дозорная башня \| сторожевая вышка
ландскнехт	наёмный солдат
мечтание	процесс действия
компенсатор	различные прибор
машиностроение	комплекс отраслей
принцип	основная особенность
надсада	чрезмерное напряжение
цукат	сахарный сироп
черемша	луковичное растение
рубец	большого отдел
искра	мелкая частица
десерт	фрукты конфеты
яхт-клуб	спортивная организация
монокль	оптическое стекло
эволюция	процесс изменения
корунд	твёрдый минерал
удовлетворение	чувство удовлетворения
румянец	отражённый свет
процессия	длинный ряд
сельдерей	огородное растение
дизайн	художественное проектирование
насаждение	деревья растения
квадрат	показатель степени
оттаивание	процесс действия
пристрастие	предвзятое отношение
казарка	птица семейства
общественность	общественная жизнь
проволока	проволочное заграждение
икона	живописное изображение
ослабление	процесс действия
скиф	гоночная лодка
горбинка	небольшая выпуклость
закат	освещение неба
почитание	процесс действия
миномет	гладкоствольное орудие
сувенир	художественное изделие
пшик	человеческий ничто
подголовник	деревянная подставка
приступ	сильное проявление
бальзамин	комнатное растение
ход	установленный порядок
тест	пробное задание
предприятие	торговый единица \| хозяйственная единица
глумление	процесс действия
ранг	степень отличия
гудок	механическое устройство
карканье	мрачное предсказание
капище	место служения
волеизъявление	проявление воли
пыж	деревянный столбик
конторщик	младший служащий
старик	бывалый человек
решка	сторона монеты
подвиг	бескорыстный поступок
опробование	процесс действия
шпон	металлическая пластинка
крепостничество	реакционная идеология
арена	круглую площадка
прислуга	домашняя работница
гнездо	место жительства
кожица	тонкая кожа
обвал	снежный глыба
камин	обогревательный прибор
спаржа	огородное растение
излучина	крутой поворот
улан	иностранные армия
небытие	отсутствие бытия
шатун	подвижная деталь
похождение	рискованный поступок
ломота	болезненное ощущение
боевик	кинематографический фильм
сладострастие	повышенная чувственность
безлюдье	отсутствие людей
доступ	возможность пользования
порицание	мера взыскания
чучело	нелепое существо
русак	серый заяц
песец	хищное млекопитающее
затхлость	дурной запах
рожок	макаронный изделие
камилавка	маленькая шапочка
полиция	капиталистические страна
шкура	бранное слово
ропот	неясный шум
фара	электрический фонарь
попрание	полное пренебрежение
дуновение	шумную движение \| слабый движение
борщ	жидкое кушанье
дупель	голенастая птица
корнет	офицерский чин
гастрономия	пищевых продукт
мимика	движения мышц
уборка	внешнее оформление
песчанка	рыба отряда
команда	личный состав
радиоволна	электромагнитная волна
костел	католический храм
передышка	глубокий вдох
перекличка	процесс действия
вхождение	процесс действия
дубликат	экземпляр документа
кантата	хоровая песнь
кровь	крови кровей
развитие	процесс действия
форма	нормы поведения
мистерия	религиозная драма
окрошка	беспорядочная смесь
свинья	неопрятный человек
формальность	внешняя сторона
ситуация	совокупность обстоятельств
барышник	повышенная цена
многолетник	травянистое растение
приятельство	приятельский отношение
времяпровождение	использование времени
молибден	химический элемент
мотопехота	пехотный войско
приживальщик	бедный человек
декламация	выразительное чтение
серпуха	многолетняя трава
свет	восход солнца
интуиция	неосознанное чувство
основание	существенный признак
восход	время появления
ответвление	стебель растения
рубеж	последняя грань
воспроизводство	процесс производства
партия	политическую организация
умелец	искусный мастер
жжение	процесс действия
прочтение	процесс действия
растрата	казённый деньги
эмпирик	практический человек
акварель	художественный краска
шахта	горнопромышленное предприятие
казарма	неуклюжее здание
уплотнение	процесс действия
манипуляция	действие манипулятора
набережная	берега реки
ветвление	процесс действия
шербет	кондитерское изделие
полено	кондитерское изделие
касса	кредитные учреждение
струг	погрузочные машина
пошлость	нравственное отношение
психоз	болезненное состояние
купина	куст деревьев
дуда	музыкальный инструмент
потемнение	процесс действия
бдение	процесс действия
спонсор	юридическое лицо
кувалда	неуклюжий человек
кашемир	хлопчатобумажная ткань
бунт	стихийное восстание
судоходство	плавание судов
безразличие	отсутствие различия
сласть	сладкий вкус
армеец	дореволюционная россия
миграция	перемещение населения
ход	последовательный изменение
молоко	млечный сок
тропик	жаркий пояс
пятачок	небольшая площадка
резина	эластичный материал
терапия	раздел медицины
прославление	процесс действия
погранзастава	пограничная застава
воля	освобождение крестьян
внушение	метод лечения
кокотка	дворянское общество
сангина	коричневый карандаш \| красный карандаш
рубашка	женское белье
баржа	плоскодонное судно
мерзавец	безнравственный человек
масло	пищевого продукт
лицо	лица лиц
ленок	пресноводная рыба
светофор	электрический фонарь
форма	деревянная рамка
юфть	мягкая кожа
протоколист	должностное лицо
январь	месяц зимы
инструкция	руководящий указание
сверчок	насекомое отряда
древность	древнеримский мир
радение	религиозные секта
прель	действием тепла
скот	сельскохозяйственные животное
интервью	журнальная статья
финифть	техника изготовления
баллада	стихотворное произведение
маевка	увеселительная прогулка
сбербанк	сберегательный банк
асессор	царская россия
одноклассник	школьный товарищ
поддержка	основные элемент
сульфат	сернокислые соль
батон	кондитерское изделие
севооборот	последовательная смена
шпон	тонкий лист
минор	печальное настроение
подворотничок	стоячий воротничок
хам	наглый человек
предмет	явление действительности
радио	область науки
салат	огородное растение
риторика	учебный предмет
ферула	травянистое растение
крышка	плоская поверхность
моторка	моторная лодка
отдача	ответный удар
изыскание	предварительное исследование
лапша	пищевого продукт
капитул	руководящий орган
йогурт	кисломолочный продукт
вольнодумец	свободомыслящий человек
празднование	процесс действия
маркировка	процесс действия
пуф	предмет мебели
астра	декоративное растение
кабан	большого кусок
владычество	полное господство
морозильник	морозильная камера
интеллект	мыслительный способность
встраивание	процесс действия
фактор	движущая сила
кепи	форменная фуражка
вымысел	создание воображения
лимит	предельная норма
фотопластинка	стеклянная пластинка
предстояние	процесс действия
банкомат	автоматическое устройство
натовец	военнослужащий войск
закон	необходимое отношение
миткаль	хлопчатобумажная ткань
фокусник	ловкий человек
пробег	спортивное состязание
лесовосстановление	комплекс мероприятий
прореха	сквозное отверстие
наскок	стремительное нападение
орел	сильный человек
гренадер	иностранные армия
обычай	общепринятый порядок
фетишизм	половое извращение
спряжение	процесс действия
регистратура	отдел учреждения
стопа	большого сосуд
сообщение	процесс действия
поганка	водоплавающая птица
поэтика	теория литературы
укомплектование	процесс действия
враждебность	качество человека
джип	американский военный
испытание	проверка знаний
зарождение	процесс действия
подруга	любимая женщина
старшина	выборное лицо
семья	группа людей
манишка	белое пятно
предание	процесс действия
хворост	сухое печение
культурология	научная дисциплина
испуг	душевное волнение
концентрат	пищевого продукт
предчувствие	чувство ожидания \| неясное чувство
десятник	группой рабочих
недостаток	отрицательное качество
сотня	территориальная единица
прогиб	гимнастическое упражнение
стриптиз	увеселительное заведение
невозможность	отсутствие условий
ходок	подземная выработка
сивуха	хлебная водка
воздержание	ограничение себя
воспитание	навыки поведения
стадия	определённая ступень
коренья	подземный часть
тригонометрия	раздел математики
периодика	периодическая печать
бромид	химическое соединение
дятел	лесной птица
пропеллер	самолетов вертолетов
стипендия	денежное пособие
этажерка	предмет мебели
лавочка	небольшая скамейка
